1764191512.656237,1
1764191512.759161,20
1764191512.862053,19
1764191512.966797,19
1764191513.079944,19
1764191513.192540,17
1764191513.298098,17
1764191513.403792,17
1764191513.516698,16
1764191513.627952,16
1764191513.736694,18
1764191513.842128,13
1764191513.953622,13
1764191514.065237,15
1764191514.179749,19
1764191514.293513,18
1764191514.405087,17
1764191514.516080,18
1764191514.630548,16
1764191514.737701,19
1764191514.842128,14
1764191514.948056,16
1764191515.059443,19
1764191515.170888,18
1764191515.281759,13
1764191515.392316,14
1764191515.502198,16
1764191515.612557,16
1764191515.738828,20
1764191515.845918,17
1764191515.957519,17
1764191516.073862,18
1764191516.185536,19
1764191516.296857,20
1764191516.407102,15
1764191516.521914,15
1764191516.625325,16
1764191516.738851,18
1764191516.845984,19
1764191516.958410,13
1764191517.072405,14
1764191517.178738,17
1764191517.287442,20
1764191517.410058,14
1764191517.523846,16
1764191517.628793,16
1764191517.741559,18
1764191517.851984,13
1764191517.966865,14
1764191518.070267,18
1764191518.174370,19
1764191518.283247,20
1764191518.390112,19
1764191518.502521,16
1764191518.609864,17
1764191518.727934,19
1764191518.843536,11
1764191518.951266,14
1764191519.057689,15
1764191519.166120,16
1764191519.271888,18
1764191519.379560,19
1764191519.494745,19
1764191519.605472,14
1764191519.716528,13
1764191519.825019,14
1764191519.934194,12
1764191520.041801,9
1764191520.151260,11
1764191520.260945,14
1764191520.367258,15
1764191520.476914,17
1764191520.587958,18
1764191520.693351,20
1764191520.803940,20
1764191520.908416,12
1764191521.017037,18
1764191521.128432,20
1764191521.242369,14
1764191521.350145,9
1764191521.457926,8
1764191521.561831,10
1764191521.669234,13
1764191521.775760,13
1764191521.884270,15
1764191521.992370,17
1764191522.099808,18
1764191522.206898,20
1764191522.313181,20
1764191522.420103,10
1764191522.538088,10
1764191522.649183,12
1764191522.756571,15
1764191522.865988,15
1764191522.976259,17
1764191523.083945,17
1764191523.198120,20
1764191523.308865,16
1764191523.414884,16
1764191523.526856,18
1764191523.636637,19
1764191523.744917,20
1764191523.855985,8
1764191523.966974,6
1764191524.078134,9
1764191524.194953,11
1764191524.305331,13
1764191524.417313,14
1764191524.526766,17
1764191524.636989,18
1764191524.755212,19
1764191524.862627,20
1764191524.975612,20
1764191525.080860,20
1764191525.190634,11
1764191525.303327,12
1764191525.409589,13
1764191525.523892,16
1764191525.636698,20
1764191525.750565,14
1764191525.858953,18
1764191525.964229,20
1764191526.070334,20
1764191526.179881,7
1764191526.288874,9
1764191526.398363,11
1764191526.506583,12
1764191526.615602,14
1764191526.726025,14
1764191526.830558,17
1764191526.939622,19
1764191527.050546,20
1764191527.162447,19
1764191527.265703,15
1764191527.369036,17
1764191527.481196,20
1764191527.589741,18
1764191527.695130,9
1764191527.800492,14
1764191527.907852,10
1764191528.014872,12
1764191528.124529,14
1764191528.241563,15
1764191528.345423,17
1764191528.453897,19
1764191528.562520,19
1764191528.671510,20
1764191528.778986,9
1764191528.886680,11
1764191529.003492,13
1764191529.112137,15
1764191529.222616,16
1764191529.333100,17
1764191529.438048,18
1764191529.545186,20
1764191529.656395,18
1764191529.765643,16
1764191529.876340,17
1764191529.993249,20
1764191530.103129,20
1764191530.213638,10
1764191530.324437,6
1764191530.433944,8
1764191530.545001,10
1764191530.652062,12
1764191530.767744,15
1764191530.873465,15
1764191530.980065,17
1764191531.088321,19
1764191531.194895,20
1764191531.300357,19
1764191531.404842,9
1764191531.510991,11
1764191531.621678,14
1764191531.726078,14
1764191531.832500,17
1764191531.966986,16
1764191532.070552,18
1764191532.190550,15
1764191532.294924,16
1764191532.400234,18
1764191532.506399,19
1764191532.611484,19
1764191532.718418,11
1764191532.824269,12
1764191532.931223,11
1764191533.037969,13
1764191533.144685,15
1764191533.249977,16
1764191533.354825,16
1764191533.461255,19
1764191533.569507,20
1764191533.676486,18
1764191533.784676,11
1764191533.889974,20
1764191533.997448,15
1764191534.106494,17
1764191534.215688,16
1764191534.322278,11
1764191534.427610,13
1764191534.535187,14
1764191534.643551,16
1764191534.751359,17
1764191534.857742,19
1764191534.965391,19
1764191535.075562,18
1764191535.193727,9
1764191535.301264,13
1764191535.407198,14
1764191535.516260,16
1764191535.623967,17
1764191535.734036,19
1764191535.841095,20
1764191535.951199,19
1764191536.063128,12
1764191536.168454,11
1764191536.282679,15
1764191536.390978,15
1764191536.496114,10
1764191536.605595,13
1764191536.712214,14
1764191536.816563,16
1764191536.920863,18
1764191537.028544,18
1764191537.132696,20
1764191537.234896,20
1764191537.342372,10
1764191537.449011,11
1764191537.557864,12
1764191537.662541,15
1764191537.774433,16
1764191537.884661,17
1764191537.994545,18
1764191538.107638,20
1764191538.222872,16
1764191538.324900,13
1764191538.431005,17
1764191538.539049,19
1764191538.648761,20
1764191538.754754,12
1764191538.861457,14
1764191538.967620,16
1764191539.076965,12
1764191539.186678,14
1764191539.294383,14
1764191539.404651,16
1764191539.512631,18
1764191539.622476,19
1764191539.733340,20
1764191539.839171,19
1764191539.947807,11
1764191540.057564,12
1764191540.165091,20
1764191540.274853,19
1764191540.385472,16
1764191540.492691,8
1764191540.602535,11
1764191540.708295,13
1764191540.815613,15
1764191540.926430,16
1764191541.036851,18
1764191541.148094,19
1764191541.256203,19
1764191541.367448,9
1764191541.478240,9
1764191541.588231,13
1764191541.693862,14
1764191541.798909,15
1764191541.905774,17
1764191542.010571,17
1764191542.114909,19
1764191542.218585,19
1764191542.324155,11
1764191542.429895,11
1764191542.537222,13
1764191542.650590,15
1764191542.756789,17
1764191542.863629,18
1764191542.972791,20
1764191543.083416,20
1764191543.189944,11
1764191543.298246,15
1764191543.404826,18
1764191543.514956,17
1764191543.624366,16
1764191543.730189,12
1764191543.837693,8
1764191543.941942,10
1764191544.049429,13
1764191544.156519,14
1764191544.262024,16
1764191544.369613,18
1764191544.477928,19
1764191544.584705,19
1764191544.692854,9
1764191544.810177,11
1764191544.915325,13
1764191545.019224,14
1764191545.124041,15
1764191545.229192,17
1764191545.339161,19
1764191545.445787,20
1764191545.555700,20
1764191545.663208,6
1764191545.769634,11
1764191545.880776,14
1764191545.996513,18
1764191546.107976,20
1764191546.213095,12
1764191546.321630,14
1764191546.425832,15
1764191546.534177,16
1764191546.643575,18
1764191546.751907,19
1764191546.857173,18
1764191546.969447,10
1764191547.079363,13
1764191547.202552,16
1764191547.305259,19
1764191547.408676,10
